Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
268.40	30.665	21.696	0.046091	8.1599	8.3013	42.233	41.255	106.25	579.98	0.032189	107.97	0.11620	0.0054506	1.9089	0.52387	17.462	19.069	82.350	37.046	73.558	214.56	1.4949	14.318	0.018238
268.50	30.755	21.683	0.046120	8.1705	8.3123	42.273	41.261	106.36	579.02	0.032410	107.77	0.11607	0.0054298	1.9153	0.52211	17.461	19.067	82.325	37.074	73.724	214.51	1.4933	14.328	0.018266
268.61	30.844	21.669	0.046148	8.1810	8.3233	42.312	41.267	106.47	578.06	0.032632	107.57	0.11594	0.0054090	1.9218	0.52036	17.460	19.065	82.300	37.103	73.891	214.46	1.4916	14.338	0.018295
268.72	30.934	21.656	0.046177	8.1915	8.3343	42.351	41.273	106.58	577.11	0.032855	107.38	0.11581	0.0053883	1.9282	0.51862	17.458	19.062	82.275	37.131	74.059	214.40	1.4900	14.348	0.018324
268.82	31.023	21.642	0.046206	8.2020	8.3453	42.391	41.279	106.69	576.15	0.033078	107.18	0.11568	0.0053677	1.9347	0.51689	17.457	19.060	82.251	37.160	74.227	214.35	1.4884	14.357	0.018354
268.93	31.113	21.629	0.046234	8.2124	8.3563	42.430	41.285	106.80	575.20	0.033302	106.99	0.11556	0.0053471	1.9411	0.51516	17.456	19.058	82.226	37.189	74.396	214.30	1.4868	14.367	0.018383
269.03	31.203	21.615	0.046263	8.2229	8.3672	42.469	41.291	106.91	574.24	0.033527	106.79	0.11543	0.0053266	1.9476	0.51345	17.454	19.056	82.201	37.217	74.565	214.25	1.4852	14.377	0.018412
269.14	31.292	21.602	0.046292	8.2333	8.3782	42.508	41.297	107.03	573.29	0.033752	106.60	0.11530	0.0053062	1.9541	0.51175	17.453	19.054	82.176	37.246	74.736	214.19	1.4836	14.387	0.018441
269.24	31.382	21.589	0.046321	8.2437	8.3891	42.547	41.304	107.14	572.34	0.033978	106.41	0.11517	0.0052858	1.9606	0.51005	17.452	19.052	82.151	37.274	74.906	214.14	1.4819	14.397	0.018471
269.35	31.472	21.575	0.046349	8.2541	8.4000	42.586	41.310	107.25	571.39	0.034204	106.21	0.11505	0.0052655	1.9671	0.50837	17.450	19.050	82.127	37.303	75.078	214.09	1.4803	14.407	0.018500
269.45	31.561	21.562	0.046378	8.2645	8.4109	42.625	41.316	107.37	570.44	0.034431	106.02	0.11492	0.0052452	1.9736	0.50669	17.449	19.048	82.102	37.332	75.250	214.03	1.4788	14.417	0.018530
269.56	31.651	21.548	0.046407	8.2749	8.4218	42.664	41.323	107.48	569.49	0.034659	105.83	0.11479	0.0052250	1.9801	0.50502	17.447	19.046	82.077	37.360	75.423	213.98	1.4772	14.427	0.018559
269.66	31.740	21.535	0.046436	8.2852	8.4326	42.703	41.329	107.60	568.55	0.034887	105.64	0.11467	0.0052049	1.9866	0.50336	17.446	19.044	82.053	37.389	75.596	213.93	1.4756	14.437	0.018589
269.76	31.830	21.522	0.046465	8.2956	8.4435	42.742	41.336	107.71	567.60	0.035116	105.45	0.11454	0.0051848	1.9932	0.50171	17.445	19.042	82.028	37.417	75.770	213.87	1.4740	14.447	0.018619
269.87	31.920	21.508	0.046494	8.3059	8.4543	42.780	41.343	107.83	566.66	0.035346	105.26	0.11441	0.0051648	1.9997	0.50007	17.443	19.039	82.003	37.446	75.945	213.82	1.4724	14.456	0.018649
269.97	32.009	21.495	0.046523	8.3162	8.4652	42.819	41.349	107.94	565.71	0.035576	105.07	0.11429	0.0051448	2.0063	0.49844	17.442	19.037	81.979	37.475	76.120	213.77	1.4708	14.466	0.018679
270.08	32.099	21.482	0.046552	8.3265	8.4760	42.857	41.356	108.06	564.77	0.035808	104.89	0.11416	0.0051249	2.0128	0.49681	17.440	19.035	81.954	37.503	76.296	213.71	1.4693	14.476	0.018709
270.18	32.189	21.468	0.046581	8.3368	8.4868	42.896	41.363	108.18	563.83	0.036039	104.70	0.11404	0.0051050	2.0194	0.49520	17.439	19.033	81.930	37.532	76.473	213.66	1.4677	14.486	0.018739
270.28	32.278	21.455	0.046610	8.3471	8.4976	42.934	41.370	108.30	562.89	0.036272	104.51	0.11391	0.0050852	2.0260	0.49359	17.438	19.031	81.905	37.560	76.651	213.61	1.4661	14.496	0.018769
270.38	32.368	21.441	0.046639	8.3574	8.5083	42.972	41.377	108.41	561.96	0.036505	104.33	0.11379	0.0050655	2.0326	0.49199	17.436	19.029	81.881	37.589	76.829	213.55	1.4646	14.506	0.018799
270.49	32.457	21.428	0.046668	8.3676	8.5191	43.011	41.384	108.53	561.02	0.036739	104.14	0.11366	0.0050458	2.0392	0.49040	17.435	19.026	81.856	37.618	77.008	213.50	1.4630	14.516	0.018829
270.59	32.547	21.415	0.046697	8.3779	8.5298	43.049	41.391	108.65	560.08	0.036973	103.96	0.11354	0.0050262	2.0458	0.48881	17.433	19.024	81.832	37.646	77.187	213.44	1.4615	14.526	0.018860
270.69	32.637	21.401	0.046726	8.3881	8.5406	43.087	41.398	108.77	559.15	0.037208	103.77	0.11342	0.0050066	2.0524	0.48724	17.432	19.022	81.808	37.675	77.368	213.39	1.4599	14.536	0.018890
270.79	32.726	21.388	0.046755	8.3983	8.5513	43.125	41.405	108.89	558.22	0.037444	103.59	0.11329	0.0049871	2.0590	0.48567	17.430	19.020	81.783	37.704	77.549	213.34	1.4584	14.546	0.018921
270.89	32.816	21.375	0.046784	8.4085	8.5620	43.163	41.412	109.01	557.29	0.037681	103.40	0.11317	0.0049676	2.0656	0.48411	17.429	19.017	81.759	37.732	77.731	213.28	1.4568	14.556	0.018952
271.00	32.906	21.361	0.046813	8.4187	8.5727	43.201	41.419	109.13	556.35	0.037918	103.22	0.11305	0.0049482	2.0723	0.48256	17.427	19.015	81.735	37.761	77.913	213.23	1.4553	14.566	0.018982
271.10	32.995	21.348	0.046842	8.4288	8.5834	43.239	41.426	109.25	555.43	0.038156	103.04	0.11292	0.0049289	2.0789	0.48102	17.426	19.013	81.710	37.790	78.096	213.17	1.4537	14.576	0.019013
271.20	33.085	21.335	0.046872	8.4390	8.5941	43.277	41.434	109.38	554.50	0.038394	102.86	0.11280	0.0049096	2.0856	0.47948	17.424	19.011	81.686	37.818	78.280	213.12	1.4522	14.586	0.019044
271.30	33.174	21.322	0.046901	8.4491	8.6047	43.314	41.441	109.50	553.57	0.038634	102.68	0.11268	0.0048904	2.0923	0.47795	17.423	19.008	81.662	37.847	78.465	213.07	1.4507	14.596	0.019075
271.40	33.264	21.308	0.046930	8.4592	8.6154	43.352	41.448	109.62	552.64	0.038874	102.50	0.11256	0.0048712	2.0989	0.47643	17.421	19.006	81.637	37.876	78.651	213.01	1.4492	14.606	0.019106
271.50	33.354	21.295	0.046960	8.4694	8.6260	43.390	41.456	109.74	551.72	0.039115	102.32	0.11243	0.0048521	2.1056	0.47492	17.420	19.004	81.613	37.904	78.837	212.96	1.4476	14.616	0.019137
271.60	33.443	21.282	0.046989	8.4795	8.6366	43.427	41.463	109.87	550.80	0.039356	102.14	0.11231	0.0048330	2.1123	0.47341	17.418	19.001	81.589	37.933	79.024	212.90	1.4461	14.627	0.019168
271.70	33.533	21.268	0.047018	8.4896	8.6472	43.465	41.471	109.99	549.87	0.039598	101.96	0.11219	0.0048140	2.1190	0.47191	17.417	18.999	81.565	37.962	79.212	212.85	1.4446	14.637	0.019200
271.80	33.622	21.255	0.047048	8.4996	8.6578	43.502	41.478	110.12	548.95	0.039841	101.78	0.11207	0.0047950	2.1257	0.47042	17.415	18.997	81.541	37.990	79.400	212.79	1.4431	14.647	0.019231
271.90	33.712	21.242	0.047077	8.5097	8.6684	43.539	41.486	110.24	548.03	0.040085	101.61	0.11195	0.0047761	2.1325	0.46894	17.413	18.994	81.517	38.019	79.590	212.74	1.4416	14.657	0.019263
272.00	33.802	21.229	0.047106	8.5197	8.6790	43.577	41.494	110.37	547.11	0.040330	101.43	0.11183	0.0047572	2.1392	0.46747	17.412	18.992	81.492	38.048	79.780	212.68	1.4401	14.667	0.019294
272.10	33.891	21.215	0.047136	8.5298	8.6895	43.614	41.501	110.50	546.20	0.040575	101.25	0.11171	0.0047384	2.1459	0.46600	17.410	18.990	81.468	38.077	79.971	212.63	1.4386	14.677	0.019326
272.20	33.981	21.202	0.047165	8.5398	8.7001	43.651	41.509	110.62	545.28	0.040821	101.08	0.11158	0.0047197	2.1527	0.46453	17.409	18.987	81.444	38.105	80.162	212.58	1.4371	14.687	0.019358
272.30	34.071	21.189	0.047195	8.5498	8.7106	43.688	41.517	110.75	544.37	0.041067	100.90	0.11146	0.0047010	2.1595	0.46308	17.407	18.985	81.420	38.134	80.355	212.52	1.4356	14.697	0.019390
272.40	34.160	21.175	0.047224	8.5598	8.7212	43.726	41.525	110.88	543.45	0.041315	100.73	0.11134	0.0046823	2.1662	0.46163	17.405	18.982	81.396	38.163	80.548	212.47	1.4341	14.708	0.019422
272.49	34.250	21.162	0.047254	8.5698	8.7317	43.763	41.532	111.01	542.54	0.041563	100.55	0.11122	0.0046637	2.1730	0.46019	17.404	18.980	81.372	38.192	80.742	212.41	1.4326	14.718	0.019454
272.59	34.339	21.149	0.047284	8.5798	8.7422	43.800	41.540	111.14	541.63	0.041812	100.38	0.11111	0.0046452	2.1798	0.45876	17.402	18.978	81.348	38.221	80.937	212.36	1.4311	14.728	0.019486
272.69	34.429	21.136	0.047313	8.5898	8.7527	43.837	41.548	111.27	540.72	0.042062	100.20	0.11099	0.0046267	2.1866	0.45733	17.401	18.975	81.324	38.249	81.133	212.30	1.4296	14.738	0.019518
272.79	34.519	21.122	0.047343	8.5997	8.7631	43.873	41.556	111.40	539.81	0.042312	100.03	0.11087	0.0046083	2.1934	0.45591	17.399	18.973	81.300	38.278	81.330	212.25	1.4282	14.748	0.019550
272.89	34.608	21.109	0.047373	8.6097	8.7736	43.910	41.564	111.53	538.90	0.042564	99.859	0.11075	0.0045899	2.2002	0.45450	17.397	18.970	81.276	38.307	81.527	212.19	1.4267	14.758	0.019583
272.98	34.698	21.096	0.047402	8.6196	8.7841	43.947	41.572	111.66	537.99	0.042816	99.687	0.11063	0.0045715	2.2070	0.45309	17.396	18.968	81.252	38.336	81.726	212.14	1.4252	14.769	0.019615
273.08	34.788	21.083	0.047432	8.6295	8.7945	43.984	41.580	111.79	537.09	0.043069	99.516	0.11051	0.0045533	2.2139	0.45169	17.394	18.965	81.228	38.365	81.925	212.08	1.4237	14.779	0.019648
273.18	34.877	21.069	0.047462	8.6394	8.8050	44.020	41.589	111.92	536.18	0.043322	99.345	0.11039	0.0045350	2.2207	0.45030	17.392	18.963	81.204	38.394	82.125	212.03	1.4223	14.789	0.019681
273.27	34.967	21.056	0.047492	8.6493	8.8154	44.057	41.597	112.06	535.28	0.043577	99.175	0.11027	0.0045168	2.2276	0.44892	17.391	18.960	81.180	38.423	82.326	211.97	1.4208	14.799	0.019713
273.37	35.056	21.043	0.047522	8.6592	8.8258	44.094	41.605	112.19	534.38	0.043832	99.005	0.11016	0.0044987	2.2345	0.44754	17.389	18.958	81.157	38.452	82.528	211.91	1.4193	14.810	0.019746
273.47	35.146	21.030	0.047552	8.6691	8.8362	44.130	41.613	112.33	533.48	0.044088	98.836	0.11004	0.0044806	2.2413	0.44616	17.387	18.955	81.133	38.480	82.731	211.86	1.4179	14.820	0.019779
273.56	35.236	21.017	0.047581	8.6790	8.8466	44.166	41.621	112.46	532.58	0.044345	98.667	0.10992	0.0044626	2.2482	0.44480	17.385	18.953	81.109	38.509	82.934	211.80	1.4164	14.830	0.019812
273.66	35.325	21.003	0.047611	8.6888	8.8570	44.203	41.630	112.60	531.68	0.044602	98.499	0.10980	0.0044446	2.2551	0.44343	17.384	18.950	81.085	38.538	83.139	211.75	1.4150	14.841	0.019846
273.76	35.415	20.990	0.047641	8.6986	8.8674	44.239	41.638	112.73	530.78	0.044861	98.331	0.10969	0.0044267	2.2620	0.44208	17.382	18.948	81.061	38.567	83.344	211.69	1.4135	14.851	0.019879
273.85	35.505	20.977	0.047671	8.7085	8.8777	44.275	41.646	112.87	529.89	0.045120	98.163	0.10957	0.0044088	2.2689	0.44073	17.380	18.945	81.037	38.596	83.551	211.64	1.4121	14.861	0.019912
273.95	35.594	20.964	0.047701	8.7183	8.8881	44.312	41.655	113.01	528.99	0.045380	97.996	0.10945	0.0043909	2.2759	0.43939	17.379	18.943	81.014	38.625	83.758	211.58	1.4106	14.872	0.019946
274.04	35.684	20.951	0.047732	8.7281	8.8984	44.348	41.663	113.14	528.10	0.045641	97.830	0.10934	0.0043731	2.2828	0.43806	17.377	18.940	80.990	38.654	83.966	211.53	1.4092	14.882	0.019980
274.14	35.773	20.937	0.047762	8.7379	8.9088	44.384	41.672	113.28	527.21	0.045903	97.664	0.10922	0.0043554	2.2898	0.43673	17.375	18.937	80.966	38.683	84.175	211.47	1.4077	14.892	0.020013
274.24	35.863	20.924	0.047792	8.7477	8.9191	44.420	41.680	113.42	526.32	0.046165	97.499	0.10910	0.0043377	2.2967	0.43540	17.373	18.935	80.942	38.712	84.385	211.41	1.4063	14.903	0.020047
274.33	35.953	20.911	0.047822	8.7575	8.9294	44.456	41.689	113.56	525.43	0.046429	97.334	0.10899	0.0043201	2.3037	0.43409	17.371	18.932	80.919	38.742	84.596	211.36	1.4049	14.913	0.020081
274.42	36.042	20.898	0.047852	8.7672	8.9397	44.492	41.697	113.70	524.54	0.046693	97.169	0.10887	0.0043025	2.3107	0.43277	17.370	18.930	80.895	38.771	84.808	211.30	1.4034	14.923	0.020115
274.52	36.132	20.884	0.047882	8.7770	8.9500	44.528	41.706	113.84	523.65	0.046958	97.005	0.10876	0.0042849	2.3177	0.43147	17.368	18.927	80.871	38.800	85.021	211.25	1.4020	14.934	0.020149
274.61	36.222	20.871	0.047913	8.7867	8.9603	44.564	41.714	113.98	522.76	0.047224	96.841	0.10864	0.0042674	2.3247	0.43017	17.366	18.924	80.847	38.829	85.235	211.19	1.4006	14.944	0.020183
274.71	36.311	20.858	0.047943	8.7965	8.9706	44.600	41.723	114.13	521.88	0.047491	96.678	0.10852	0.0042500	2.3317	0.42888	17.364	18.922	80.824	38.858	85.450	211.13	1.3992	14.955	0.020218
274.80	36.401	20.845	0.047973	8.8062	8.9808	44.636	41.732	114.27	520.99	0.047758	96.515	0.10841	0.0042326	2.3387	0.42759	17.362	18.919	80.800	38.887	85.666	211.08	1.3977	14.965	0.020252
274.90	36.490	20.832	0.048004	8.8159	8.9911	44.671	41.740	114.41	520.11	0.048027	96.353	0.10830	0.0042152	2.3457	0.42631	17.361	18.916	80.776	38.916	85.882	211.02	1.3963	14.976	0.020287
274.99	36.580	20.818	0.048034	8.8256	9.0013	44.707	41.749	114.56	519.23	0.048296	96.191	0.10818	0.0041979	2.3528	0.42503	17.359	18.914	80.753	38.946	86.100	210.96	1.3949	14.986	0.020321
275.08	36.670	20.805	0.048065	8.8353	9.0116	44.743	41.758	114.70	518.35	0.048567	96.029	0.10807	0.0041807	2.3598	0.42376	17.357	18.911	80.729	38.975	86.319	210.91	1.3935	14.997	0.020356
275.18	36.759	20.792	0.048095	8.8450	9.0218	44.778	41.766	114.85	517.47	0.048838	95.868	0.10795	0.0041634	2.3669	0.42250	17.355	18.908	80.706	39.004	86.539	210.85	1.3921	15.007	0.020391
275.27	36.849	20.779	0.048126	8.8547	9.0320	44.814	41.775	114.99	516.59	0.049110	95.708	0.10784	0.0041463	2.3740	0.42124	17.353	18.905	80.682	39.033	86.760	210.80	1.3907	15.018	0.020426
275.36	36.938	20.766	0.048156	8.8643	9.0422	44.849	41.784	115.14	515.71	0.049383	95.547	0.10772	0.0041291	2.3810	0.41998	17.351	18.903	80.658	39.063	86.982	210.74	1.3892	15.028	0.020461
275.46	37.028	20.752	0.048187	8.8740	9.0524	44.885	41.793	115.29	514.83	0.049656	95.388	0.10761	0.0041121	2.3881	0.41874	17.349	18.900	80.635	39.092	87.205	210.68	1.3878	15.039	0.020497
275.55	37.118	20.739	0.048218	8.8836	9.0626	44.920	41.802	115.44	513.96	0.049931	95.228	0.10750	0.0040950	2.3952	0.41749	17.348	18.897	80.611	39.121	87.429	210.63	1.3864	15.049	0.020532
275.64	37.207	20.726	0.048248	8.8933	9.0728	44.956	41.811	115.58	513.09	0.050207	95.069	0.10738	0.0040781	2.4024	0.41626	17.346	18.894	80.588	39.151	87.654	210.57	1.3850	15.060	0.020567
275.73	37.297	20.713	0.048279	8.9029	9.0830	44.991	41.820	115.73	512.21	0.050483	94.911	0.10727	0.0040611	2.4095	0.41503	17.344	18.892	80.564	39.180	87.880	210.51	1.3836	15.071	0.020603
275.83	37.387	20.700	0.048310	8.9125	9.0931	45.026	41.828	115.88	511.34	0.050761	94.753	0.10716	0.0040442	2.4166	0.41380	17.342	18.889	80.540	39.210	88.107	210.46	1.3822	15.081	0.020639
275.92	37.476	20.687	0.048341	8.9221	9.1033	45.062	41.837	116.04	510.47	0.051039	94.595	0.10704	0.0040274	2.4238	0.41258	17.340	18.886	80.517	39.239	88.335	210.40	1.3808	15.092	0.020674
276.01	37.566	20.673	0.048371	8.9317	9.1134	45.097	41.846	116.19	509.60	0.051318	94.438	0.10693	0.0040106	2.4309	0.41136	17.338	18.883	80.493	39.268	88.565	210.34	1.3794	15.103	0.020710
276.10	37.655	20.660	0.048402	8.9413	9.1236	45.132	41.855	116.34	508.73	0.051598	94.281	0.10682	0.0039938	2.4381	0.41015	17.336	18.880	80.470	39.298	88.795	210.28	1.3781	15.113	0.020746
276.19	37.745	20.647	0.048433	8.9509	9.1337	45.167	41.864	116.49	507.87	0.051880	94.125	0.10671	0.0039771	2.4453	0.40895	17.334	18.878	80.446	39.327	89.027	210.23	1.3767	15.124	0.020783
276.29	37.835	20.634	0.048464	8.9605	9.1438	45.202	41.873	116.65	507.00	0.052162	93.968	0.10660	0.0039604	2.4525	0.40775	17.332	18.875	80.423	39.357	89.260	210.17	1.3753	15.135	0.020819
276.38	37.924	20.621	0.048495	8.9700	9.1540	45.237	41.882	116.80	506.14	0.052445	93.813	0.10648	0.0039438	2.4597	0.40655	17.330	18.872	80.399	39.387	89.493	210.11	1.3739	15.145	0.020855
276.47	38.014	20.607	0.048526	8.9796	9.1641	45.272	41.892	116.96	505.27	0.052729	93.658	0.10637	0.0039272	2.4669	0.40536	17.328	18.869	80.376	39.416	89.728	210.06	1.3725	15.156	0.020892
276.56	38.104	20.594	0.048557	8.9891	9.1742	45.307	41.901	117.11	504.41	0.053014	93.503	0.10626	0.0039107	2.4741	0.40418	17.326	18.866	80.352	39.446	89.965	210.00	1.3711	15.167	0.020928
276.65	38.193	20.581	0.048589	8.9987	9.1842	45.342	41.910	117.27	503.55	0.053299	93.348	0.10615	0.0038942	2.4814	0.40300	17.324	18.863	80.329	39.475	90.202	209.94	1.3698	15.178	0.020965
276.74	38.283	20.568	0.048620	9.0082	9.1943	45.377	41.919	117.43	502.69	0.053586	93.194	0.10604	0.0038778	2.4886	0.40183	17.322	18.860	80.305	39.505	90.440	209.88	1.3684	15.188	0.021002
276.83	38.372	20.555	0.048651	9.0177	9.2044	45.412	41.928	117.58	501.83	0.053874	93.040	0.10593	0.0038614	2.4959	0.40066	17.320	18.858	80.282	39.535	90.680	209.83	1.3670	15.199	0.021039
276.92	38.462	20.541	0.048682	9.0272	9.2145	45.447	41.937	117.74	500.97	0.054163	92.887	0.10582	0.0038450	2.5032	0.39949	17.318	18.855	80.258	39.564	90.921	209.77	1.3656	15.210	0.021076
277.01	38.552	20.528	0.048713	9.0367	9.2245	45.481	41.946	117.90	500.11	0.054453	92.734	0.10570	0.0038287	2.5105	0.39833	17.316	18.852	80.235	39.594	91.163	209.71	1.3643	15.221	0.021114
277.10	38.641	20.515	0.048745	9.0462	9.2346	45.516	41.956	118.06	499.26	0.054743	92.582	0.10559	0.0038124	2.5178	0.39718	17.314	18.849	80.211	39.624	91.406	209.65	1.3629	15.232	0.021151
277.19	38.731	20.502	0.048776	9.0557	9.2446	45.551	41.965	118.22	498.40	0.055035	92.429	0.10548	0.0037962	2.5251	0.39603	17.312	18.846	80.188	39.654	91.650	209.60	1.3615	15.243	0.021189
277.28	38.821	20.489	0.048808	9.0652	9.2547	45.585	41.974	118.39	497.55	0.055328	92.278	0.10537	0.0037800	2.5324	0.39488	17.310	18.843	80.165	39.684	91.896	209.54	1.3602	15.253	0.021226
277.37	38.910	20.475	0.048839	9.0747	9.2647	45.620	41.983	118.55	496.70	0.055621	92.126	0.10526	0.0037638	2.5397	0.39374	17.308	18.840	80.141	39.714	92.143	209.48	1.3588	15.264	0.021264
277.46	39.000	20.462	0.048871	9.0841	9.2747	45.654	41.993	118.71	495.85	0.055916	91.975	0.10515	0.0037477	2.5471	0.39261	17.306	18.837	80.118	39.743	92.391	209.42	1.3574	15.275	0.021302
277.55	39.089	20.449	0.048902	9.0936	9.2847	45.689	42.002	118.88	495.00	0.056212	91.825	0.10504	0.0037317	2.5544	0.39148	17.304	18.834	80.094	39.773	92.640	209.37	1.3561	15.286	0.021340
277.64	39.179	20.436	0.048934	9.1030	9.2947	45.723	42.011	119.04	494.15	0.056509	91.674	0.10493	0.0037157	2.5618	0.39035	17.302	18.831	80.071	39.803	92.891	209.31	1.3547	15.297	0.021378
277.73	39.269	20.423	0.048965	9.1124	9.3047	45.758	42.021	119.21	493.30	0.056807	91.524	0.10483	0.0036997	2.5692	0.38923	17.300	18.828	80.047	39.833	93.143	209.25	1.3534	15.308	0.021417
277.82	39.358	20.409	0.048997	9.1219	9.3147	45.792	42.030	119.37	492.45	0.057105	91.375	0.10472	0.0036838	2.5766	0.38811	17.297	18.825	80.024	39.863	93.396	209.19	1.3520	15.319	0.021455
277.91	39.448	20.396	0.049029	9.1313	9.3247	45.826	42.039	119.54	491.61	0.057405	91.225	0.10461	0.0036679	2.5840	0.38700	17.295	18.822	80.001	39.893	93.650	209.13	1.3507	15.330	0.021494
278.00	39.538	20.383	0.049061	9.1407	9.3347	45.861	42.049	119.71	490.76	0.057706	91.076	0.10450	0.0036520	2.5914	0.38589	17.293	18.819	79.977	39.923	93.906	209.08	1.3493	15.341	0.021532
278.08	39.627	20.370	0.049092	9.1501	9.3446	45.895	42.058	119.88	489.92	0.058008	90.928	0.10439	0.0036362	2.5988	0.38479	17.291	18.816	79.954	39.954	94.163	209.02	1.3479	15.352	0.021571
278.17	39.717	20.356	0.049124	9.1595	9.3546	45.929	42.068	120.05	489.08	0.058311	90.780	0.10428	0.0036204	2.6063	0.38369	17.289	18.813	79.930	39.984	94.422	208.96	1.3466	15.363	0.021610
278.26	39.806	20.343	0.049156	9.1689	9.3646	45.964	42.077	120.22	488.23	0.058615	90.632	0.10417	0.0036047	2.6137	0.38259	17.287	18.810	79.907	40.014	94.682	208.90	1.3453	15.374	0.021650
278.35	39.896	20.330	0.049188	9.1783	9.3745	45.998	42.086	120.39	487.39	0.058920	90.484	0.10406	0.0035890	2.6212	0.38150	17.285	18.807	79.884	40.044	94.943	208.84	1.3439	15.385	0.021689
278.44	39.986	20.317	0.049220	9.1876	9.3845	46.032	42.096	120.57	486.55	0.059226	90.337	0.10396	0.0035734	2.6287	0.38042	17.282	18.803	79.860	40.074	95.205	208.78	1.3426	15.397	0.021728
278.52	40.075	20.304	0.049252	9.1970	9.3944	46.066	42.105	120.74	485.72	0.059534	90.190	0.10385	0.0035578	2.6362	0.37934	17.280	18.800	79.837	40.105	95.469	208.73	1.3412	15.408	0.021768
278.61	40.165	20.290	0.049284	9.2064	9.4043	46.100	42.115	120.91	484.88	0.059842	90.044	0.10374	0.0035422	2.6437	0.37826	17.278	18.797	79.813	40.135	95.734	208.67	1.3399	15.419	0.021808
278.70	40.254	20.277	0.049317	9.2157	9.4142	46.134	42.124	121.09	484.04	0.060151	89.898	0.10363	0.0035267	2.6512	0.37719	17.276	18.794	79.790	40.165	96.001	208.61	1.3385	15.430	0.021847
278.79	40.344	20.264	0.049349	9.2251	9.4242	46.168	42.134	121.27	483.21	0.060462	89.752	0.10353	0.0035112	2.6587	0.37612	17.274	18.791	79.767	40.196	96.269	208.55	1.3372	15.441	0.021887
278.87	40.434	20.251	0.049381	9.2344	9.4341	46.202	42.143	121.44	482.37	0.060773	89.607	0.10342	0.0034958	2.6663	0.37506	17.271	18.788	79.743	40.226	96.538	208.49	1.3359	15.452	0.021928
278.96	40.523	20.237	0.049413	9.2437	9.4440	46.236	42.153	121.62	481.54	0.061086	89.461	0.10331	0.0034804	2.6738	0.37400	17.269	18.785	79.720	40.257	96.809	208.43	1.3345	15.464	0.021968
279.05	40.613	20.224	0.049446	9.2531	9.4539	46.270	42.162	121.80	480.71	0.061400	89.317	0.10320	0.0034651	2.6814	0.37294	17.267	18.782	79.697	40.287	97.082	208.37	1.3332	15.475	0.022008
279.13	40.703	20.211	0.049478	9.2624	9.4638	46.304	42.172	121.98	479.88	0.061715	89.172	0.10310	0.0034497	2.6890	0.37189	17.265	18.778	79.673	40.318	97.356	208.32	1.3319	15.486	0.022049
279.22	40.792	20.198	0.049511	9.2717	9.4736	46.337	42.182	122.16	479.05	0.062031	89.028	0.10299	0.0034345	2.6966	0.37084	17.262	18.775	79.650	40.348	97.631	208.26	1.3305	15.498	0.022090
279.31	40.882	20.184	0.049543	9.2810	9.4835	46.371	42.191	122.34	478.22	0.062348	88.884	0.10288	0.0034192	2.7042	0.36980	17.260	18.772	79.627	40.379	97.908	208.20	1.3292	15.509	0.022131
279.39	40.971	20.171	0.049576	9.2903	9.4934	46.405	42.201	122.52	477.39	0.062667	88.741	0.10278	0.0034040	2.7118	0.36876	17.258	18.769	79.603	40.410	98.186	208.14	1.3279	15.520	0.022172
279.48	41.061	20.158	0.049608	9.2996	9.5033	46.439	42.211	122.71	476.56	0.062986	88.597	0.10267	0.0033889	2.7194	0.36772	17.256	18.765	79.580	40.440	98.466	208.08	1.3266	15.532	0.022213
279.56	41.151	20.145	0.049641	9.3088	9.5131	46.472	42.220	122.89	475.74	0.063307	88.455	0.10256	0.0033737	2.7271	0.36669	17.253	18.762	79.556	40.471	98.747	208.02	1.3252	15.543	0.022254
279.65	41.240	20.131	0.049674	9.3181	9.5230	46.506	42.230	123.08	474.91	0.063628	88.312	0.10246	0.0033587	2.7348	0.36566	17.251	18.759	79.533	40.502	99.030	207.96	1.3239	15.554	0.022296
279.74	41.330	20.118	0.049707	9.3274	9.5328	46.540	42.240	123.26	474.09	0.063951	88.170	0.10235	0.0033436	2.7424	0.36464	17.249	18.756	79.510	40.533	99.314	207.90	1.3226	15.566	0.022338
279.82	41.420	20.105	0.049739	9.3366	9.5427	46.573	42.249	123.45	473.26	0.064276	88.028	0.10225	0.0033286	2.7501	0.36362	17.246	18.752	79.486	40.563	99.600	207.84	1.3213	15.577	0.022379
279.91	41.509	20.092	0.049772	9.3459	9.5525	46.607	42.259	123.64	472.44	0.064601	87.886	0.10214	0.0033137	2.7578	0.36261	17.244	18.749	79.463	40.594	99.888	207.78	1.3199	15.589	0.022421
